from,to,sdimx_begin,sdimy_begin,sdimx_end,sdimy_end,distance,weight
c_7_19_1,c_7_19_60,13.07378,-47.84672,13.08044,-47.84942,0.00718648731996551,139.150040273751
c_7_19_1,c_7_19_98,13.07378,-47.84672,13.0664,-47.8559,0.0117786586672679,84.8993105453456
c_7_19_1,c_7_19_115,13.07378,-47.84672,13.07486,-47.85932,0.0126462010105793,79.0751308763353
c_7_19_1,c_7_19_48,13.07378,-47.84672,13.05488,-47.8478,0.0189308319943934,52.8238801282564
c_7_19_10,c_7_19_61,12.31238,-47.84636,12.31598,-47.85248,0.00710030985239642,140.838924045335
c_7_19_10,c_7_19_87,12.31238,-47.84636,12.30896,-47.85518,0.00945985200729853,105.709898973945
c_7_19_10,c_7_19_9,12.31238,-47.84636,12.30158,-47.84762,0.010873251583588,91.9688091747452
c_7_19_10,c_7_19_11,12.31238,-47.84636,12.3248,-47.84726,0.0124525660006288,80.3047339760741
c_7_19_10,c_7_19_8,12.31238,-47.84636,12.29006,-47.84672,0.0223229030370144,44.7970408840582
c_7_19_10,c_7_19_12,12.31238,-47.84636,12.33686,-47.84654,0.0244806617557619,40.8485689634037
c_7_19_100,c_7_19_127,12.76238,-47.85752,12.75788,-47.86292,0.00702922470831735,142.263199925413
c_7_19_100,c_7_19_154,12.76238,-47.85752,12.76634,-47.8658,0.00917823512446597,108.953408410115
c_7_19_100,c_7_19_35,12.76238,-47.85752,12.76742,-47.84834,0.0104725355096082,95.4878595620455
c_7_19_100,c_7_19_117,12.76238,-47.85752,12.77264,-47.86022,0.0106093166603697,94.2567775109802
c_7_19_100,c_7_19_34,12.76238,-47.85752,12.75914,-47.84708,0.0109312030444986,91.4812391581434
c_7_19_100,c_7_19_4388,12.76238,-47.85752,12.75122,-47.8523,0.0123204707702271,81.1657296745949
c_7_19_1000,c_7_19_986,12.31076,-48.01898,12.30392,-48.01682,0.00717294918426095,139.412670341262
c_7_19_1000,c_7_19_963,12.31076,-48.01898,12.30986,-48.01106,0.007970972337173,125.455208938118
c_7_19_1000,c_7_19_996,12.31076,-48.01898,12.31904,-48.01772,0.00837532088937442,119.398410306724
c_7_19_1000,c_7_19_1030,12.31076,-48.01898,12.31292,-48.02798,0.00925557129517168,108.043033553387
c_7_19_1000,c_7_19_1041,12.31076,-48.01898,12.30572,-48.02906,0.0112697826066005,88.7328562499795
c_7_19_1000,c_7_19_4594,12.31076,-48.01898,12.31976,-48.026,0.011414043980994,87.611367335288
c_7_19_1001,c_7_19_1049,12.83762,-48.02078,12.83402,-48.02708,0.00725603197346456,137.816371765866
c_7_19_1001,c_7_19_4577,12.83762,-48.02078,12.84212,-48.01466,0.00759634122456566,131.642322328297
c_7_19_1001,c_7_19_4571,12.83762,-48.02078,12.83816,-48.00872,0.0120720834987225,82.8357424885126
c_7_19_1001,c_7_19_1003,12.83762,-48.02078,12.85148,-48.01952,0.0139171548816572,71.853766700405
c_7_19_1001,c_7_19_937,12.83762,-48.02078,12.83006,-48.00602,0.0165834616410468,60.3010409795765
c_7_19_1001,c_7_19_1043,12.83762,-48.02078,12.8216,-48.02636,0.0169639853807977,58.9484120360033
c_7_19_1001,c_7_19_1094,12.83762,-48.02078,12.84428,-48.03644,0.017017379351707,58.7634546619947
c_7_19_1001,c_7_19_955,12.83762,-48.02078,12.82016,-48.01124,0.0198963112159017,50.260572884524
c_7_19_1002,c_7_19_1032,12.33668,-48.01862,12.33182,-48.02456,0.00767484201791931,130.295841616699
c_7_19_1002,c_7_19_1028,12.33668,-48.01862,12.34208,-48.02528,0.00857412386194923,116.629992300188
c_7_19_1002,c_7_19_4574,12.33668,-48.01862,12.33524,-48.0098,0.00893677794286047,111.897152015385
c_7_19_1002,c_7_19_4570,12.33668,-48.01862,12.3311,-48.0098,0.0104368960903136,95.813926990046
c_7_19_1002,c_7_19_953,12.33668,-48.01862,12.34262,-48.0098,0.0106337199511746,94.0404679257645
c_7_19_1002,c_7_19_974,12.33668,-48.01862,12.32552,-48.01502,0.0117262781819296,85.2785499785449
c_7_19_1002,c_7_19_987,12.33668,-48.01862,12.34982,-48.01772,0.0131707858535473,75.9256137879329
c_7_19_1003,c_7_19_4577,12.85148,-48.01952,12.84212,-48.01466,0.0105465254942101,94.8179569232523
c_7_19_1003,c_7_19_946,12.85148,-48.01952,12.84788,-48.00836,0.0117262781819267,85.2785499785655
c_7_19_1003,c_7_19_1072,12.85148,-48.01952,12.85202,-48.03392,0.0144101214429322,69.3956677575727
c_7_19_1003,c_7_19_913,12.85148,-48.01952,12.85994,-48.00764,0.0145844437672453,68.5662076633916
c_7_19_1003,c_7_19_1021,12.85148,-48.01952,12.8648,-48.03068,0.01737722647605,57.5465826711899
c_7_19_1003,c_7_19_1094,12.85148,-48.01952,12.84428,-48.03644,0.0183882136163353,54.3826616801778
c_7_19_1003,c_7_19_968,12.85148,-48.01952,12.87164,-48.01466,0.0207375311934656,48.2217478382913
c_7_19_1004,c_7_19_1020,13.14128,-48.0215,13.1348,-48.02024,0.00660136349552142,151.483856430332
c_7_19_1004,c_7_19_977,13.14128,-48.0215,13.14866,-48.01772,0.00829173082052468,120.602081959135
c_7_19_1004,c_7_19_952,13.14128,-48.0215,13.13858,-48.01052,0.011307095117672,88.4400449092435
c_7_19_1004,c_7_19_1050,13.14128,-48.0215,13.13246,-48.02924,0.0117345643293637,85.2183320941601
c_7_19_1004,c_7_19_4598,13.14128,-48.0215,13.13948,-48.03428,0.0129061380745745,77.4825121366115
c_7_19_1004,c_7_19_1107,13.14128,-48.0215,13.15316,-48.03518,0.0181184105263078,55.1924794146821
c_7_19_1005,c_7_19_967,12.63818,-48.01898,12.63314,-48.01592,0.00589620216749708,169.600697464635
c_7_19_1005,c_7_19_1029,12.63818,-48.01898,12.647,-48.02402,0.0101584447628567,98.4402655469854
c_7_19_1005,c_7_19_970,12.63818,-48.01898,12.62666,-48.01718,0.0116597770133054,85.7649334853372
c_7_19_1005,c_7_19_979,12.63818,-48.01898,12.6497,-48.0152,0.012124306165714,82.4789465336887
c_7_19_1005,c_7_19_1071,12.63818,-48.01898,12.638,-48.03266,0.0136811841592759,73.0930881682486
c_7_19_1005,c_7_19_951,12.63818,-48.01898,12.6488,-48.00746,0.0156682736764433,63.8232405592625
c_7_19_1005,c_7_19_1039,12.63818,-48.01898,12.62324,-48.03122,0.0193137567552249,51.7765659303685
c_7_19_1006,c_7_19_972,13.02086,-48.02042,13.0313,-48.01646,0.0111658049418739,89.5591500304477
c_7_19_1006,c_7_19_962,13.02086,-48.02042,13.0124,-48.01196,0.0119642467376769,83.582361842378
c_7_19_1006,c_7_19_947,13.02086,-48.02042,13.02518,-48.00926,0.0119669544997917,83.5634496661124
c_7_19_1006,c_7_19_1057,13.02086,-48.02042,13.0088,-48.03032,0.015602999711595,64.0902402412321
c_7_19_1006,c_7_19_1007,13.02086,-48.02042,13.04102,-48.02078,0.0201632140295131,49.5952678246777
c_7_19_1007,c_7_19_972,13.04102,-48.02078,13.0313,-48.01646,0.0106367664259395,94.0135338086711
