name,category,tissue_scope,description,n_root_programs,n_total_programs
immune_core,immune,pan-tissue,Pan-tissue immune hierarchy.,6,13
solid_tissue_core,solid_tissue,pan-solid-tissue,Major non-immune solid tissue lineages.,4,8
tme_core,tme,pan-solid-tissue,Combined solid tissue plus immune hierarchy for mixed tissue microenvironments.,5,22
brain_core,brain,brain,Core neuro hierarchy for brain-like samples.,6,8
breast_tme,tme,breast,Breast-flavored tissue microenvironment hierarchy.,5,23
colon_tme,tme,colon,Colon-flavored tissue microenvironment hierarchy.,5,23
kidney_tme,tme,kidney,Kidney-flavored tissue microenvironment hierarchy.,5,25
liver_tme,tme,liver,Liver-flavored tissue microenvironment hierarchy.,5,23
lung_tme,tme,lung,Lung-flavored tissue microenvironment hierarchy.,5,23
pancreas_tme,tme,pancreas,Pancreas-flavored tissue microenvironment hierarchy.,5,24
skin_tme,tme,skin,Skin-flavored tissue microenvironment hierarchy.,6,24
tonsil_tme,tme,tonsil,Tonsil-flavored tissue microenvironment hierarchy.,5,23
tissue_origin_screen,tissue_detection,pan-tissue,Shallow tissue-origin screening hierarchy for detect_tissue_type; not intended as a final cell-type hierarchy.,4,17
