cluster_id,annot_label,annot_label_with_cluster,annot_path,annot_level,annot_status,annot_stop_reason,annot_confidence,annot_score,annot_raw_score,annot_branch_supported_raw_score,annot_margin,annot_best_any_level_label,annot_best_any_level_score,annot_low_evidence,annot_low_absolute_support,annot_deeper_level_unresolved,annot_branch_conflict,annot_decision_label,annot_decision_path,annot_decision_level,annot_decision_score,annot_decision_raw_score,annot_decision_branch_supported_raw_score,annot_backoff_applied,annot_backoff_steps,annot_backoff_reason,annot_best_any_level_raw_score,annot_primary_compartment,annot_secondary_compartment,annot_primary_compartment_score,annot_secondary_compartment_score,annot_top_level_gap,annot_mixed_compartment,annot_parent_mixing,annot_mixed_primary,annot_mixed_secondary,annot_best_any_level_top_branch,annot_final_top_branch,annot_path_margin,annot_l1_label,annot_l1_score,annot_l1_parent_label,annot_l1_positive_score,annot_l1_negative_score,annot_l1_marker_source,annot_l1_score_status,annot_l1_branch_supported_raw_score,annot_l1_markers_present,annot_l1_markers_total,annot_l1_markers_present_fraction,annot_l1_markers_detection_support_fraction,annot_l1_negative_markers_present,annot_l1_negative_markers_total,annot_l1_negative_markers_present_fraction,annot_l1_used_fallback_marker_set,annot_l1_control_fallback_used,annot_l1_median_controls_per_positive_marker,annot_l1_median_controls_per_negative_marker,annot_l1_sibling_specificity_score,annot_l1_program_robust_zscore,annot_l1_raw_score,annot_l2_label,annot_l2_score,annot_l2_parent_label,annot_l2_positive_score,annot_l2_negative_score,annot_l2_marker_source,annot_l2_score_status,annot_l2_branch_supported_raw_score,annot_l2_markers_present,annot_l2_markers_total,annot_l2_markers_present_fraction,annot_l2_markers_detection_support_fraction,annot_l2_negative_markers_present,annot_l2_negative_markers_total,annot_l2_negative_markers_present_fraction,annot_l2_used_fallback_marker_set,annot_l2_control_fallback_used,annot_l2_median_controls_per_positive_marker,annot_l2_median_controls_per_negative_marker,annot_l2_sibling_specificity_score,annot_l2_program_robust_zscore,annot_l2_raw_score,annot_l3_label,annot_l3_score,annot_l3_parent_label,annot_l3_positive_score,annot_l3_negative_score,annot_l3_marker_source,annot_l3_score_status,annot_l3_branch_supported_raw_score,annot_l3_markers_present,annot_l3_markers_total,annot_l3_markers_present_fraction,annot_l3_markers_detection_support_fraction,annot_l3_negative_markers_present,annot_l3_negative_markers_total,annot_l3_negative_markers_present_fraction,annot_l3_used_fallback_marker_set,annot_l3_control_fallback_used,annot_l3_median_controls_per_positive_marker,annot_l3_median_controls_per_negative_marker,annot_l3_sibling_specificity_score,annot_l3_program_robust_zscore,annot_l3_raw_score,annot_second_best_call,annot_second_best_call_score,annot_final_call_margin,annot_export_label,annot_export_label_with_cluster,annot_unresolved_candidate_label,annot_unresolved_candidate_score,annot_unresolved_candidate_raw_score,annot_export_status,annot_export_reason
15,Pericyte,Pericyte_15,Mural > Pericyte,2,assigned,leaf_reached,high,1.0239120903695005,0.9040605892619853,0.9040605892619853,0.44359721545410435,Pericyte,1.2036893420307737,False,False,False,False,Pericyte,Mural > Pericyte,2,1.0239120903695005,0.9040605892619853,0.9040605892619853,False,0,,0.9040605892619853,Mural,Fibroblast,0.8242911425931334,-0.8242911425931334,1.6485822851862668,False,False,,,Mural,Mural,,Endothelial,0.15852536322155553,,-0.005562334428792268,0.348807749336127,effective,ok,-0.10748491267081962,5,5,1.0,1.0,3,3,1.0,False,False,100.0,100.0,0.15852536322155553,0.36006666476903926,-0.1799662090968558,Capillary endothelial,0.5417007850101421,Endothelial,0.019383472832392223,-0.015479472861710614,effective,ok,0.02712320926324753,2,2,1.0,1.0,2,2,1.0,False,False,100.0,100.0,0.5417007850101421,0.5417007850101421,0.02712320926324753,Treg,0.7308412724530048,T cell,0.02953352489568,0.03583135339954069,effective,ok,0.011617848195909657,4,4,1.0,1.0,2,2,1.0,False,False,100.0,100.0,0.7308412724530048,1.030421506200001,0.011617848195909657,Fibroblast,0.5803148749153961,0.44359721545410435,Pericyte,Pericyte_15,,,,resolved,resolved
0,Fibroblast,Fibroblast_0,Fibroblast,1,assigned,leaf_reached,medium,0.06838339585456235,0.5038175303796544,0.5038175303796544,-0.12372895096457562,Treg,0.7308412724530048,False,False,False,True,Fibroblast,Fibroblast,1,0.06838339585456235,0.5038175303796544,0.5038175303796544,False,0,,0.011617848195909657,Endothelial,Intestinal epithelial,0.15852536322155553,-0.15852536322155553,0.31705072644311105,False,False,,,Immune,Fibroblast,,Fibroblast,1.7649440365997648,,2.3052513654691973,-0.2687053827953834,effective,ok,2.439604056866889,5,5,1.0,1.0,4,4,1.0,False,False,100.0,100.0,1.7649440365997648,2.045376529130913,2.439604056866889,Absorptive-like,0.7759806325932687,Intestinal epithelial,-0.4352279098370486,-0.4518781400748697,effective,ok,-0.20928883979961377,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,0.7759806325932687,0.5380281562645146,-0.20928883979961377,Dendritic cell,0.0688918526633001,Myeloid,-0.04754677246197355,-0.30469517083817266,effective,ok,0.10480081295711277,5,5,1.0,0.8,2,2,1.0,False,False,100.0,100.0,0.07654650295922233,0.002566405727016012,0.10480081295711277,T cell,0.19211234681913797,-0.12372895096457562,Fibroblast,Fibroblast_0,,,,resolved,resolved
4,Pericyte,Pericyte_4,Mural > Pericyte,2,assigned,leaf_reached,high,1.1782470672413206,1.038081573376824,1.038081573376824,0.9173769349952253,Pericyte,1.3884953080380653,False,False,False,False,Pericyte,Mural > Pericyte,2,1.1782470672413206,1.038081573376824,1.038081573376824,False,0,,1.038081573376824,Mural,Endothelial,0.6618215177538302,-0.6618215177538302,1.3236430355076605,False,False,,,Mural,Mural,,Intestinal epithelial,0.36380374055480136,,-0.04403730962767293,0.3022394927851222,effective,ok,-0.07614818376384838,6,6,1.0,1.0,4,4,1.0,False,False,100.0,100.0,0.36380374055480136,0.5276025696884362,-0.19515705602023403,Absorptive-like,4.607986823530748,Intestinal epithelial,0.2292171625822388,0.16869773859702764,effective,ok,0.14486829328372497,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,4.607986823530748,3.6728458733926237,0.14486829328372497,Plasma cell,10.243029445192365,B cell,2.2353555869213695,0.047791831158786366,effective,ok,2.2114596713419763,5,5,1.0,1.0,2,2,1.0,False,False,100.0,100.0,10.243029445192365,10.243029445192365,2.2114596713419763,CD8 T cell,0.26087013224609523,0.9173769349952253,Pericyte,Pericyte_4,,,,resolved,resolved
7,Neutrophil,Neutrophil_7,Immune > Neutrophil,2,assigned,leaf_reached,high,1.007021867848294,0.15414753730229439,0.15414753730229439,-1.0905186927392685,Neutrophil,2.6459840307559697,False,False,False,False,Neutrophil,Immune > Neutrophil,2,1.007021867848294,0.15414753730229439,0.15414753730229439,False,0,,0.15414753730229439,Immune,Fibroblast,0.7690523035444528,-0.6921470731900075,1.4611993767344602,False,False,,,Immune,Immune,,Intestinal epithelial,7.379022566296554,,1.414937137422755,-0.3876999237380436,effective,ok,1.29612264453622,6,6,1.0,1.0,4,4,1.0,False,False,100.0,100.0,7.379022566296554,7.379022566296554,1.6087870992917768,Absorptive-like,9.397923203174242,Intestinal epithelial,2.0735690961967355,2.716218020984529,effective,ok,0.7154600857044711,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,9.397923203174242,8.723432443697646,0.7154600857044711,Dendritic cell,1.1262217471295755,Myeloid,-0.1768187983603268,0.8471561806026902,effective,ok,-0.6003968886616718,5,5,1.0,0.8,2,2,1.0,False,False,100.0,100.0,1.2513574968106393,-1.468775528891443,-0.6003968886616718,Macrophage,2.0975405605875626,-1.0905186927392685,mixed_neutrophil.macrophage,mixed_neutrophil.macrophage_7,,,,mixed,final_call_competition
14,Fibroblast,Fibroblast_14,Fibroblast,1,assigned,leaf_reached,high,1.2741351581849836,1.7493055563344635,1.7493055563344635,0.31928479414543554,Pericyte,1.1209924750779365,False,False,False,False,Fibroblast,Fibroblast,1,1.2741351581849836,1.7493055563344635,1.7493055563344635,False,0,,0.8440889566806224,Fibroblast,Mural,0.5613795609607637,-0.5613795609607637,1.1227591219215274,False,False,,,Mural,Fibroblast,,Endothelial,7.499248442508454,,1.1761867348243225,0.17601799138565996,effective,ok,0.7563590595103449,5,5,1.0,1.0,3,3,1.0,False,False,100.0,100.0,7.499248442508454,8.262940140077262,1.0881777391314924,Capillary endothelial,1.7812113025852934,Endothelial,0.39567234944042906,0.5110959613101453,effective,ok,0.1401243687853564,2,2,1.0,1.0,2,2,1.0,False,False,100.0,100.0,1.7812113025852934,1.7812113025852934,0.1401243687853564,Monocyte,0.1948498756475606,Myeloid,-0.017736674027342966,-0.4784610562445393,effective,ok,0.22149385409492667,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.23381985077707274,0.6646276733390717,0.22149385409492667,Pericyte,0.954850364039548,0.31928479414543554,Fibroblast,Fibroblast_14,,,,resolved,resolved
8,Treg,Treg_8,Immune > T cell > Treg,3,assigned,leaf_reached,high,1.8039428544601783,0.277309589006041,0.277309589006041,1.318192854397564,T cell,8.532894104294574,False,False,False,False,Treg,Immune > T cell > Treg,3,1.8039428544601783,0.277309589006041,0.277309589006041,False,0,,0.34921295294919896,Immune,Fibroblast,1.5932547983292367,-1.433929318496313,3.0271841168255498,False,False,,,Immune,Immune,,Intestinal epithelial,3.048342876317143,,0.3311135560575072,-0.011523852343779777,effective,ok,0.25336647654395344,6,6,1.0,0.8333333333333334,4,4,1.0,False,False,100.0,100.0,3.325464955982338,2.54827397499545,0.33687548222939706,Absorptive-like,3.2604552980209216,Intestinal epithelial,-0.06684617056836752,-0.330248987392994,effective,ok,0.0982783231281295,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,3.2604552980209216,3.2604552980209216,0.0982783231281295,Dendritic cell,1.2255708937403664,Myeloid,-0.04005040641176497,0.6004371085155189,effective,ok,-0.34026896066952445,5,5,1.0,0.8,2,2,1.0,False,False,100.0,100.0,1.3617454374892959,-0.9260381831206295,-0.34026896066952445,Macrophage,0.48575000006261426,1.318192854397564,Treg,Treg_8,,,,resolved,resolved
12,Capillary endothelial,Capillary_endothelial_12,Endothelial > Capillary endothelial,2,assigned,leaf_reached,high,0.7965591423053312,0.1401243687853564,0.1401243687853564,0.4395236275970101,Endothelial,7.499248442508454,False,False,False,False,Capillary endothelial,Endothelial > Capillary endothelial,2,0.7965591423053312,0.1401243687853564,0.1401243687853564,False,0,,1.0881777391314924,Endothelial,Immune,7.499248442508454,-7.436646126069536,14.93589456857799,False,False,,,Endothelial,Endothelial,,Fibroblast,0.5613795609607637,,1.5912698558127905,-0.3160714010433463,effective,ok,1.7493055563344635,5,5,1.0,1.0,4,4,1.0,False,False,100.0,100.0,0.5613795609607637,1.235870320437359,1.7493055563344635,Pericyte,1.1209924750779365,Mural,0.7595680060764578,-0.1690419012083293,effective,ok,0.8440889566806224,2,2,1.0,1.0,6,6,1.0,False,False,100.0,100.0,1.1209924750779365,1.1209924750779365,0.8440889566806224,CD4 T cell,0.32209311513312777,T cell,0.009755563426942846,-0.020993814252253357,effective,ok,0.020252470553069522,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.38651173815975337,0.5694355846044376,0.020252470553069522,Pericyte,0.3570355147083211,0.4395236275970101,Capillary endothelial,Capillary_endothelial_12,,,,resolved,resolved
18,Pericyte,Pericyte_18,Mural > Pericyte,2,assigned,leaf_reached,high,0.9002510411202127,0.7966761463250633,0.7966761463250633,0.22774608832100907,CD4 T cell,1.4947271991256759,False,False,False,True,Pericyte,Mural > Pericyte,2,0.9002510411202127,0.7966761463250633,0.7966761463250633,False,0,,0.3485251061812902,Mural,Endothelial,0.27035643485447236,-0.27035643485447236,0.5407128697089447,False,False,,,Immune,Mural,,Mural,0.8242911425931334,,1.0061750116449437,-0.6429692434166656,effective,ok,1.1793999679213247,5,5,1.0,1.0,2,2,1.0,False,False,100.0,100.0,0.8242911425931334,1.7874093810339324,1.3276596333532766,Pericyte,1.2036893420307737,Mural,0.7735574150151507,-0.26100634849366916,effective,ok,0.9040605892619853,2,2,1.0,1.0,6,6,1.0,False,False,100.0,100.0,1.2036893420307737,1.2036893420307737,0.9040605892619853,Monocyte,0.16273957018351648,Myeloid,-0.029247040167893146,-0.49972757972532506,effective,ok,0.22061674969476938,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.1952874842202198,0.6548755628146137,0.22061674969476938,CD4 T cell,0.6725049527992036,0.22774608832100907,Pericyte,Pericyte_18,,,,resolved,resolved
6,Pericyte,Pericyte_6,Mural > Pericyte,2,assigned,leaf_reached,high,1.0087662186805177,0.8909082587263062,0.8909082587263062,0.6276592452341425,CD8 T cell,1.353046223660274,False,False,False,True,Pericyte,Mural > Pericyte,2,1.0087662186805177,0.8909082587263062,0.8909082587263062,False,0,,0.06338909732900451,Mural,Endothelial,0.8747498721606342,-0.8747498721606342,1.7494997443212683,False,False,,,Immune,Mural,,Fibroblast,1.6344341806145228,,1.9864412651789582,-0.23776483281374894,effective,ok,2.1053236815858325,5,5,1.0,1.0,4,4,1.0,False,False,100.0,100.0,1.6344341806145228,1.65336924673683,2.1053236815858325,Stem/TA-like,0.4573447441594991,Intestinal epithelial,-0.12947324693848217,-0.2650716105308909,effective,ok,0.003062558326963283,4,4,1.0,1.0,1,1,1.0,False,False,100.0,100.0,0.4573447441594991,-0.09821362291876481,0.003062558326963283,Monocyte,0.7037069235951611,Myeloid,0.004191690964689858,-0.4497423440307394,effective,ok,0.22906286298005957,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.8444483083141934,0.7487839165356445,0.22906286298005957,CD8 T cell,0.3811069734463752,0.6276592452341425,Pericyte,Pericyte_6,,,,resolved,resolved
10,Unresolved,Unresolved_10,Unresolved,0,stopped_at_parent,below_absolute_support,none,,,,,Plasma cell,10.243029445192365,True,False,False,False,Unresolved,Unresolved,0,,,,False,0,,2.2114596713419763,Intestinal epithelial,Immune,0.36380374055480136,-0.32742336649932124,0.6912271070541226,False,False,,,Immune,Unresolved,,Endothelial,1.6523202162010322,,0.19036203265441637,0.17405107003665607,effective,ok,0.06716872346345742,5,5,1.0,1.0,3,3,1.0,False,False,100.0,100.0,1.6523202162010322,2.125564540345906,0.10333649763608833,Absorptive-like,5.879181722696728,Intestinal epithelial,-0.05748752898366272,-0.43416669497740007,effective,ok,0.15959581850503732,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,5.879181722696728,3.8032063904638895,0.15959581850503732,Treg,1.3219395789349986,T cell,0.08190997088546864,0.03561209309085908,effective,ok,0.0641039243400391,4,4,1.0,1.0,2,2,1.0,False,False,100.0,100.0,1.3219395789349986,2.413063329837825,0.0641039243400391,Plasma cell,5.424087580882132,,candidate_plasma_cell,candidate_plasma_cell_10,Plasma cell,10.243029445192365,2.2114596713419763,unknown,blocked_strong_candidate
