clusters_unsup_harmony,cell_ID
11,c_1_204_1008
1,c_1_204_1026
5,c_1_204_1032
2,c_1_204_1037
3,c_1_204_1046
2,c_1_204_1051
11,c_1_204_1068
10,c_1_204_1099
2,c_1_204_1100
3,c_1_204_1110
2,c_1_204_1144
5,c_1_204_1149
10,c_1_204_1155
10,c_1_204_1161
2,c_1_204_1191
2,c_1_204_1195
5,c_1_204_1203
10,c_1_204_1204
5,c_1_204_1206
2,c_1_204_1208
5,c_1_204_1212
6,c_1_204_1222
10,c_1_204_1260
5,c_1_204_1268
5,c_1_204_1287
3,c_1_204_1292
10,c_1_204_1300
5,c_1_204_1314
2,c_1_204_1327
10,c_1_204_1328
10,c_1_204_1341
2,c_1_204_1343
9,c_1_204_1367
3,c_1_204_1390
2,c_1_204_1398
2,c_1_204_1399
2,c_1_204_1403
3,c_1_204_1407
2,c_1_204_1426
6,c_1_204_1435
1,c_1_204_1449
10,c_1_204_1456
2,c_1_204_1460
6,c_1_204_1461
2,c_1_204_1464
9,c_1_204_1482
9,c_1_204_1489
6,c_1_204_1490
10,c_1_204_1496
2,c_1_204_1497
2,c_1_204_1507
2,c_1_204_1512
5,c_1_204_1524
5,c_1_204_1527
3,c_1_204_1554
2,c_1_204_1558
3,c_1_204_1564
2,c_1_204_1566
2,c_1_204_1580
2,c_1_204_1584
2,c_1_204_1597
2,c_1_204_1600
10,c_1_204_1624
10,c_1_204_1640
10,c_1_204_1641
5,c_1_204_1643
2,c_1_204_1671
3,c_1_204_1683
2,c_1_204_1687
10,c_1_204_1703
5,c_1_204_1711
5,c_1_204_1732
10,c_1_204_1746
10,c_1_204_1750
2,c_1_204_1761
3,c_1_204_1762
3,c_1_204_1763
9,c_1_204_1800
2,c_1_204_1808
9,c_1_204_1810
3,c_1_204_1815
6,c_1_204_1833
9,c_1_204_1834
2,c_1_204_1836
2,c_1_204_1841
10,c_1_204_1860
6,c_1_204_1864
10,c_1_204_1883
8,c_1_204_1885
9,c_1_204_1895
6,c_1_204_1901
2,c_1_204_1908
10,c_1_204_1921
5,c_1_204_1934
2,c_1_204_1938
2,c_1_204_1943
10,c_1_204_1945
6,c_1_204_1974
2,c_1_204_1981
10,c_1_204_1983
10,c_1_204_1988
9,c_1_204_1990
10,c_1_204_1994
5,c_1_204_2003
9,c_1_204_2011
2,c_1_204_2032
10,c_1_204_2033
2,c_1_204_2038
10,c_1_204_2058
10,c_1_204_2077
2,c_1_204_2082
2,c_1_204_2083
0,c_1_204_2089
2,c_1_204_2097
2,c_1_204_2100
2,c_1_204_2103
2,c_1_204_2116
17,c_1_204_2118
10,c_1_204_2126
10,c_1_204_2159
2,c_1_204_2162
9,c_1_204_2165
2,c_1_204_2166
2,c_1_204_2168
2,c_1_204_2199
3,c_1_204_2201
9,c_1_204_2203
5,c_1_204_2219
3,c_1_204_2226
6,c_1_204_2256
2,c_1_204_2265
9,c_1_204_2271
5,c_1_204_2284
10,c_1_204_2298
5,c_1_204_2306
10,c_1_204_2309
2,c_1_204_2310
3,c_1_204_2341
5,c_1_204_2349
2,c_1_204_2352
5,c_1_204_2363
10,c_1_204_2370
3,c_1_204_2390
2,c_1_204_2394
5,c_1_204_2400
2,c_1_204_2405
0,c_1_204_2409
1,c_1_204_2436
2,c_1_204_2448
9,c_1_204_2450
2,c_1_204_2454
2,c_1_204_2455
5,c_1_204_2503
2,c_1_204_2508
3,c_1_204_2522
2,c_1_204_2540
10,c_1_204_2548
2,c_1_204_2555
2,c_1_204_2557
5,c_1_204_2571
8,c_1_204_2577
5,c_1_204_2610
8,c_1_204_2632
17,c_1_204_2634
5,c_1_204_2650
2,c_1_204_2665
10,c_1_204_2670
3,c_1_204_2683
2,c_1_204_2693
10,c_1_204_2725
2,c_1_204_2731
2,c_1_204_2738
2,c_1_204_2758
2,c_1_204_2759
2,c_1_204_2767
10,c_1_204_2794
5,c_1_204_2802
2,c_1_204_2810
3,c_1_204_2835
10,c_1_204_2857
9,c_1_204_2862
3,c_1_204_2864
3,c_1_204_2870
2,c_1_204_2894
10,c_1_204_2896
5,c_1_204_2899
5,c_1_204_2901
2,c_1_204_2908
2,c_1_204_2921
5,c_1_204_2938
10,c_1_204_2944
2,c_1_204_2971
17,c_1_204_2975
5,c_1_204_2993
3,c_1_204_2998
5,c_1_204_3027
2,c_1_204_3029
5,c_1_204_3030
10,c_1_204_3039
3,c_1_204_3096
5,c_1_204_3102
5,c_1_204_3113
2,c_1_204_3145
2,c_1_204_3150
5,c_1_204_3157
10,c_1_204_3158
5,c_1_204_3159
9,c_1_204_3206
5,c_1_204_3216
10,c_1_204_3222
8,c_1_204_3225
5,c_1_204_3240
9,c_1_204_3242
8,c_1_204_3246
3,c_1_204_3253
2,c_1_204_3254
5,c_1_204_3282
5,c_1_204_3291
10,c_1_204_3301
3,c_1_204_3303
10,c_1_204_3309
2,c_1_204_3312
2,c_1_204_3319
2,c_1_204_3328
2,c_1_204_3337
2,c_1_204_3355
2,c_1_204_3370
10,c_1_204_3397
2,c_1_204_3418
5,c_1_204_3436
5,c_1_204_3438
6,c_1_204_3474
2,c_1_204_3508
2,c_1_204_3512
2,c_1_204_3529
5,c_1_204_3552
2,c_1_204_3553
2,c_1_204_3558
10,c_1_204_3567
2,c_1_204_3569
2,c_1_204_3605
2,c_1_204_3607
2,c_1_204_3642
2,c_1_204_3654
2,c_1_204_3656
5,c_1_204_3668
2,c_1_204_3672
2,c_1_204_3693
2,c_1_204_3704
10,c_1_204_3719
2,c_1_204_3720
2,c_1_204_3758
2,c_1_204_3765
5,c_1_204_3768
10,c_1_204_3769
10,c_1_204_3779
5,c_1_204_3791
5,c_1_204_3814
3,c_1_204_3823
2,c_1_204_3839
2,c_1_204_3846
2,c_1_204_3890
5,c_1_204_890
2,c_1_204_908
2,c_1_204_915
2,c_1_204_940
2,c_1_204_952
2,c_1_204_953
3,c_1_204_962
5,c_1_204_969
2,c_1_204_975
5,c_1_204_995
3,c_1_205_1009
0,c_1_205_1011
2,c_1_205_1013
0,c_1_205_1017
6,c_1_205_1018
0,c_1_205_1019
0,c_1_205_1021
2,c_1_205_1025
0,c_1_205_1027
5,c_1_205_1029
5,c_1_205_1030
5,c_1_205_1033
3,c_1_205_1035
0,c_1_205_1036
2,c_1_205_1038
3,c_1_205_1039
5,c_1_205_1040
0,c_1_205_1041
0,c_1_205_1042
6,c_1_205_1043
