Feature	Comparison	Estimate	P	FDR	sig_level
VEGF Receptor 2	No vs Yes	0.143757616918182	0.688250288414663	0.995681809340043	NS or Estimate < 0.25
LAMP1	No vs Yes	0.216668159435536	0.608928234209872	0.995681809340043	NS or Estimate < 0.25
CD86	No vs Yes	0.122609578932973	0.651115394091781	0.995681809340043	NS or Estimate < 0.25
IL-15RA	No vs Yes	0.512689210171042	0.16244660598531	0.995681809340043	NS or Estimate < 0.25
ISG15	No vs Yes	-0.0332969448774763	0.955742123769041	0.995681809340043	NS or Estimate < 0.25
Neutrophil Elastase	No vs Yes	0.234742250734738	0.303048901135163	0.995681809340043	NS or Estimate < 0.25
IKKi/IKKe	No vs Yes	0.461460375926366	0.423166937858137	0.995681809340043	NS or Estimate < 0.25
KIR2DL1 + KIR2DL2	No vs Yes	0.105126106488127	0.666450052852221	0.995681809340043	NS or Estimate < 0.25
Ras	No vs Yes	0.2999145720552	0.32648860095073	0.995681809340043	NS or Estimate < 0.25
Insulin	No vs Yes	0.220456183443954	0.386696114562669	0.995681809340043	NS or Estimate < 0.25
CXCR3	No vs Yes	0.450617280383696	0.116716787756199	0.995681809340043	NS or Estimate < 0.25
c-Fos	No vs Yes	0.326120568276281	0.133392256734834	0.995681809340043	NS or Estimate < 0.25
Cathepsin S	No vs Yes	0.983611325466066	0.134454167269425	0.995681809340043	NS or Estimate < 0.25
Collagen IV	No vs Yes	0.156475342296511	0.527501185454823	0.995681809340043	NS or Estimate < 0.25
LILRB3	No vs Yes	0.248763368445948	0.374165949379955	0.995681809340043	NS or Estimate < 0.25
2B4	No vs Yes	0.23356750585992	0.300154027051054	0.995681809340043	NS or Estimate < 0.25
FGFR2	No vs Yes	0.139873866620052	0.565322300533011	0.995681809340043	NS or Estimate < 0.25
Histone H3 (acetyl K27)	No vs Yes	0.597083911568586	0.11056061387615	0.995681809340043	NS or Estimate < 0.25
HLA-DPB1	No vs Yes	0.885377765051359	0.14610525963452	0.995681809340043	NS or Estimate < 0.25
beta glucuronidase (GUSB)	No vs Yes	0.509234901070202	0.627426575926337	0.995681809340043	NS or Estimate < 0.25
KIR3DL1 + KIR3DS1	No vs Yes	0.214526451903553	0.416167940972571	0.995681809340043	NS or Estimate < 0.25
HDAC4 + 5 + 9	No vs Yes	0.309987418033106	0.515377066924675	0.995681809340043	NS or Estimate < 0.25
Macrophage Inflammatory Protein 1 alpha / CCL3	No vs Yes	0.164210780625554	0.473247809283519	0.995681809340043	NS or Estimate < 0.25
Histone H3 (tri methyl K36)	No vs Yes	0.35693726970217	0.222139164214146	0.995681809340043	NS or Estimate < 0.25
ST2	No vs Yes	0.234785969110309	0.223244606208961	0.995681809340043	NS or Estimate < 0.25
CD64	No vs Yes	0.253844686450724	0.461657699377925	0.995681809340043	NS or Estimate < 0.25
Hsp27 (phospho S78)	No vs Yes	-0.34696741382127	0.586735487980593	0.995681809340043	NS or Estimate < 0.25
Histone H3 (di methyl K79)	No vs Yes	0.852545316757209	0.0410306911462445	0.995681809340043	P < 0.05
Histone H2A.X	No vs Yes	0.691797461391621	0.198210154080475	0.995681809340043	NS or Estimate < 0.25
CCR3	No vs Yes	0.187861996505901	0.430482493050869	0.995681809340043	NS or Estimate < 0.25
IL3RA/CD123	No vs Yes	0.196752396228665	0.519395348826655	0.995681809340043	NS or Estimate < 0.25
Granzyme K	No vs Yes	0.077476584659029	0.697559368542335	0.995681809340043	NS or Estimate < 0.25
CCL18	No vs Yes	0.298888356026774	0.194814180233009	0.995681809340043	NS or Estimate < 0.25
NKG2D	No vs Yes	0.248404360952842	0.242252448047935	0.995681809340043	NS or Estimate < 0.25
c-Jun	No vs Yes	-0.0353530598310926	0.929513247483991	0.995681809340043	NS or Estimate < 0.25
IMP3	No vs Yes	0.256048838158335	0.266076963295345	0.995681809340043	NS or Estimate < 0.25
E Cadherin	No vs Yes	0.383323367475275	0.703625759136686	0.995681809340043	NS or Estimate < 0.25
IL-6R	No vs Yes	0.243695084523117	0.265886231402334	0.995681809340043	NS or Estimate < 0.25
LYVE1	No vs Yes	0.374617475095885	0.180905401464761	0.995681809340043	NS or Estimate < 0.25
CD70	No vs Yes	0.107891914334256	0.630147437151106	0.995681809340043	NS or Estimate < 0.25
IL-1RA	No vs Yes	0.15825842291793	0.463826193838062	0.995681809340043	NS or Estimate < 0.25
Histone H2B (acetyl K5)	No vs Yes	0.540034994943496	0.0997562390615436	0.995681809340043	NS or Estimate < 0.25
Hsp70	No vs Yes	0.0468644894291084	0.895764257612622	0.995681809340043	NS or Estimate < 0.25
Macrophage Inflammatory Protein 3 alpha	No vs Yes	0.200253259050532	0.401981575043794	0.995681809340043	NS or Estimate < 0.25
Prostate Specific Antigen	No vs Yes	0.157729935770174	0.494905579427287	0.995681809340043	NS or Estimate < 0.25
IL-12RB1	No vs Yes	0.230215194866158	0.54761314248382	0.995681809340043	NS or Estimate < 0.25
IL-22RA1	No vs Yes	0.160435526567173	0.517344022987658	0.995681809340043	NS or Estimate < 0.25
IL4	No vs Yes	-0.061089181039188	0.899979131132938	0.995681809340043	NS or Estimate < 0.25
CD40 Ligand	No vs Yes	0.207182548750781	0.297651908830585	0.995681809340043	NS or Estimate < 0.25
Histone H2A (acetyl K5)	No vs Yes	0.875016754966534	0.0753846771886636	0.995681809340043	NS or Estimate < 0.25
Cytokeratin 1	No vs Yes	0.320243390792643	0.141117919264715	0.995681809340043	NS or Estimate < 0.25
TBR2 / Eomes	No vs Yes	0.226270142832792	0.355556057583787	0.995681809340043	NS or Estimate < 0.25
CXCR4	No vs Yes	0.221109296545835	0.423663455818153	0.995681809340043	NS or Estimate < 0.25
Insulin Receptor alpha	No vs Yes	0.43565123676389	0.199056004274921	0.995681809340043	NS or Estimate < 0.25
Ikaros	No vs Yes	0.485914990046059	0.486835545061443	0.995681809340043	NS or Estimate < 0.25
GLB1/Beta-galactosidase	No vs Yes	0.272771390005252	0.731568602688613	0.995681809340043	NS or Estimate < 0.25
SCF	No vs Yes	0.135506330672412	0.657033916674708	0.995681809340043	NS or Estimate < 0.25
Granzyme A	No vs Yes	0.26204606948778	0.283243548159886	0.995681809340043	NS or Estimate < 0.25
ErbB4 / HER4+ErbB2 / HER2	No vs Yes	0.393452038545563	0.195485452134317	0.995681809340043	NS or Estimate < 0.25
Indoleamine 2_3-dioxygenase	No vs Yes	0.498516294541578	0.312662059420519	0.995681809340043	NS or Estimate < 0.25
CD33	No vs Yes	0.332217080446517	0.279024304004625	0.995681809340043	NS or Estimate < 0.25
IL-1 beta	No vs Yes	0.224105453021421	0.649477936478751	0.995681809340043	NS or Estimate < 0.25
IFIT1	No vs Yes	-0.122156309265663	0.878575996861493	0.995681809340043	NS or Estimate < 0.25
ErbB4 / HER4 (phospho Y1162)	No vs Yes	0.264113462805718	0.34617794697701	0.995681809340043	NS or Estimate < 0.25
