cluster_id,annot_export_label,annot_export_label_with_cluster,annot_export_status,annot_export_reason,annot_export_malignant_flag,annot_export_tumor_like_label,annot_label,annot_label_with_cluster,annot_status,annot_stop_reason,annot_path,annot_level,annot_confidence,annot_score,annot_raw_score,annot_branch_supported_raw_score,annot_margin,annot_final_call_margin,annot_second_best_call,annot_second_best_call_score,annot_unresolved_candidate_label,annot_unresolved_candidate_score,annot_unresolved_candidate_raw_score,annot_integrated_label,annot_integrated_status,annot_integrated_reason,annot_integrated_source,annot_integrated_normal_state,annot_integrated_malignant_state,annot_malignant_name,annot_malignant_label,annot_malignant_label_concise,annot_malignant_status,annot_malignant_reason,annot_malignant_status_score,annot_malignant_raw_score,annot_malignant_decision_score,annot_malignant_specificity_score,annot_malignant_margin,annot_malignant_normal_raw_delta,annot_malignant_normal_raw_delta_pass,annot_malignant_reporting_blocked,annot_l1_label,annot_l1_score,annot_l1_parent_label,annot_l1_positive_score,annot_l1_negative_score,annot_l1_marker_source,annot_l1_score_status,annot_l1_branch_supported_raw_score,annot_l1_markers_present,annot_l1_markers_total,annot_l1_markers_present_fraction,annot_l1_markers_detection_support_fraction,annot_l1_negative_markers_present,annot_l1_negative_markers_total,annot_l1_negative_markers_present_fraction,annot_l1_used_fallback_marker_set,annot_l1_control_fallback_used,annot_l1_median_controls_per_positive_marker,annot_l1_median_controls_per_negative_marker,annot_l1_sibling_specificity_score,annot_l1_program_robust_zscore,annot_l1_raw_score,annot_l2_label,annot_l2_score,annot_l2_parent_label,annot_l2_positive_score,annot_l2_negative_score,annot_l2_marker_source,annot_l2_score_status,annot_l2_branch_supported_raw_score,annot_l2_markers_present,annot_l2_markers_total,annot_l2_markers_present_fraction,annot_l2_markers_detection_support_fraction,annot_l2_negative_markers_present,annot_l2_negative_markers_total,annot_l2_negative_markers_present_fraction,annot_l2_used_fallback_marker_set,annot_l2_control_fallback_used,annot_l2_median_controls_per_positive_marker,annot_l2_median_controls_per_negative_marker,annot_l2_sibling_specificity_score,annot_l2_program_robust_zscore,annot_l2_raw_score,annot_l3_label,annot_l3_score,annot_l3_parent_label,annot_l3_positive_score,annot_l3_negative_score,annot_l3_marker_source,annot_l3_score_status,annot_l3_branch_supported_raw_score,annot_l3_markers_present,annot_l3_markers_total,annot_l3_markers_present_fraction,annot_l3_markers_detection_support_fraction,annot_l3_negative_markers_present,annot_l3_negative_markers_total,annot_l3_negative_markers_present_fraction,annot_l3_used_fallback_marker_set,annot_l3_control_fallback_used,annot_l3_median_controls_per_positive_marker,annot_l3_median_controls_per_negative_marker,annot_l3_sibling_specificity_score,annot_l3_program_robust_zscore,annot_l3_raw_score
15,Pericyte,Pericyte_15,resolved,resolved,False,,Pericyte,Pericyte_15,assigned,leaf_reached,Mural > Pericyte,2,high,1.0345052696558394,0.9137478564515971,0.9137478564515971,0.457421943232451,0.457421943232451,Fibroblast,0.5770833264233884,,,,Pericyte,resolved,normal_dominant,normal,strong,weak,emt_mesenchymal_transition,emt_mesenchymal,emt_mesenchymal,weak,malignant_state_positive_without_status,0.03894510849222418,0.0409948510444465,0.6977940350289328,1.185033230219286,,-0.8727530054071506,True,False,Endothelial,0.20209458276334386,,-0.005835957689695701,0.33209756371904126,effective,ok,-0.10144314531722823,5,5,1.0,1.0,3,3,1.0,False,False,100.0,100.0,0.20209458276334386,0.3662562595051349,-0.17188473954921632,Capillary endothelial,0.6159234528767287,Endothelial,0.024515152501647458,-0.009723611509632968,effective,ok,0.029376958256463942,2,2,1.0,1.0,2,2,1.0,False,False,100.0,100.0,0.6159234528767287,0.6159234528767287,0.029376958256463942,Treg,1.1082000964405108,T cell,0.032326523955129305,0.03583998876642491,effective,ok,0.014406529571916848,4,4,1.0,1.0,2,2,1.0,False,False,100.0,100.0,1.1082000964405108,1.302782301500478,0.014406529571916848
0,Fibroblast,Fibroblast_0,resolved,resolved,False,,Fibroblast,Fibroblast_0,assigned,leaf_reached,Fibroblast,1,medium,0.05215757622365835,0.49671247439549693,0.49671247439549693,-0.08698930123355783,-0.08698930123355783,Neutrophil,0.13914687745721618,,,,unknown,unknown,both_weak,unknown,weak,weak,stress_ifn,stress_ifn,stress_ifn,weak,malignant_support_weak,-0.06546944238036286,-0.06546944238036286,-0.0007103337153609807,0.149791067229564,,-0.5621819167758598,True,False,Fibroblast,1.8157226614080473,,2.329302125147285,-0.25981237089894854,effective,ok,2.4592083105967593,5,5,1.0,1.0,4,4,1.0,False,False,100.0,100.0,1.8157226614080473,2.086525924634723,2.4592083105967593,Absorptive-like,0.8553299362224109,Intestinal epithelial,-0.4559103048574139,-0.48184941022120564,effective,ok,-0.21498559974681108,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,0.8553299362224109,0.5581997724549629,-0.21498559974681108,CD4 T cell,0.1090169195877007,T cell,-0.12638904046419827,-0.01892562146443666,effective,ok,-0.11692622973197994,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.13082030350524085,-0.2405487501191331,-0.11692622973197994
4,Pericyte,Pericyte_4,resolved,resolved,False,,Pericyte,Pericyte_4,assigned,leaf_reached,Mural > Pericyte,2,high,1.1720970774498993,1.032381092982651,1.032381092982651,0.8994070325641274,0.8994070325641274,CD8 T cell,0.272690044885772,,,,Pericyte,resolved,normal_dominant,normal,strong,weak,emt_mesenchymal_transition,emt_mesenchymal,emt_mesenchymal,weak,malignant_support_weak,-0.02611507806951102,-0.027489555862643178,0.40977602439317296,0.6744907594765952,,-1.059870648845294,True,False,Intestinal epithelial,0.33899548391147727,,-0.044094071423808105,0.30058649229796497,effective,ok,-0.08465978416544787,6,6,1.0,1.0,4,4,1.0,False,False,100.0,100.0,0.33899548391147727,0.4632619394454396,-0.1943873175727906,Absorptive-like,3.9930758226013614,Intestinal epithelial,0.2080321745727779,0.17782450767774993,effective,ok,0.11911992073390293,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,3.9930758226013614,3.198854676181483,0.11911992073390293,Plasma cell,10.043411442505151,B cell,2.2221799563405993,0.04431451146943577,effective,ok,2.2000227006058815,5,5,1.0,1.0,2,2,1.0,False,False,100.0,100.0,10.043411442505151,10.043411442505151,2.2000227006058815
7,mixed_neutrophil.macrophage,mixed_neutrophil.macrophage_7,mixed,final_call_competition,False,,Neutrophil,Neutrophil_7,assigned,leaf_reached,Immune > Neutrophil,2,high,0.8455232069439116,0.15392603218863316,0.15392603218863316,-1.2210863970973855,-1.2210863970973855,Macrophage,2.066609604041297,,,,Neutrophil,resolved,normal_dominant,normal,strong,weak,stress_ifn,stress_ifn,stress_ifn,weak,malignant_support_weak,-0.4799328345121116,-0.5051924573811701,0.4932140636584846,1.6558166847688751,,-0.6591184895698032,True,False,Intestinal epithelial,6.822113094589189,,1.416104094414954,-0.3866391307196422,effective,ok,1.2845750084306267,6,6,1.0,1.0,4,4,1.0,False,False,100.0,100.0,6.822113094589189,6.822113094589189,1.6094236597747753,Absorptive-like,7.7982885512727815,Intestinal epithelial,2.0609547979604788,2.7593402840522563,effective,ok,0.6812846559343506,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,7.7982885512727815,7.642011025628494,0.6812846559343506,Dendritic cell,1.0972360653871305,Myeloid,-0.14243010287752264,0.8989736894563817,effective,ok,-0.5919169476057135,5,5,1.0,0.8,2,2,1.0,False,False,100.0,100.0,1.2191511837634783,-1.5903828225295191,-0.5919169476057135
14,Fibroblast,Fibroblast_14,resolved,resolved,False,,Fibroblast,Fibroblast_14,assigned,leaf_reached,Fibroblast,1,high,1.309604973957891,1.7800326638209951,1.7800326638209951,0.3375780770059672,0.3375780770059672,Pericyte,0.9720268969519238,,,,Fibroblast,resolved,normal_dominant,normal,strong,weak,emt_mesenchymal_transition,emt_mesenchymal,emt_mesenchymal,weak,malignant_support_weak,-0.04674433015657085,-0.049204558059548265,0.33192664827862256,0.53649448368965,,-1.8292372218805433,True,False,Endothelial,6.606540099192877,,1.1815391408756524,0.14970030290796624,effective,ok,0.7681643442221817,5,5,1.0,1.0,3,3,1.0,False,False,100.0,100.0,6.606540099192877,7.385744360933033,1.1066889894216692,Capillary endothelial,1.8542183760927802,Endothelial,0.3993318794237376,0.5197123240012083,effective,ok,0.13947571742313347,2,2,1.0,1.0,2,2,1.0,False,False,100.0,100.0,1.8542183760927802,1.8542183760927802,0.13947571742313347,Monocyte,0.21035358027152204,Myeloid,-0.018597582223696067,-0.47157102937118306,effective,ok,0.21718793246189547,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.25242429632582647,0.723791723348162,0.21718793246189547
8,Treg,Treg_8,resolved,resolved,False,,Treg,Treg_8,assigned,leaf_reached,Immune > T cell > Treg,3,high,2.140403856288072,0.27338471848894563,0.27338471848894563,1.6741942273673893,1.6741942273673893,Macrophage,0.46620962892068263,,,,Treg,resolved,normal_dominant,normal,strong,weak,stress_ifn,stress_ifn,stress_ifn,weak,malignant_support_weak,-0.775334935343058,-0.816142037203219,0.07591185501421917,0.6744907594765952,,-1.0895267556921646,True,False,Intestinal epithelial,2.8278986899905565,,0.3216155692781961,-0.004595845806343833,effective,ok,0.2574813057592417,6,6,1.0,0.8333333333333334,4,4,1.0,False,False,100.0,100.0,3.0849803890806067,2.2903922453400827,0.32391349218136806,Absorptive-like,3.025912111865275,Intestinal epithelial,-0.06607701313622318,-0.4003685167944604,effective,ok,0.13410724526100704,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,3.025912111865275,3.317309324728731,0.13410724526100704,Dendritic cell,1.217057613301586,Myeloid,-0.016229395282678527,0.6289123267712651,effective,ok,-0.33068555866831106,5,5,1.0,0.8,2,2,1.0,False,False,100.0,100.0,1.352286237001762,-0.9985448173414956,-0.33068555866831106
12,Capillary endothelial,Capillary_endothelial_12,resolved,resolved,False,,Capillary endothelial,Capillary_endothelial_12,assigned,leaf_reached,Endothelial > Capillary endothelial,2,high,0.8253727808909922,0.13947571742313347,0.13947571742313347,0.4791045770989453,0.4791045770989453,Pericyte,0.3462682037920469,,,,Capillary endothelial,resolved,normal_dominant,normal,strong,weak,emt_mesenchymal_transition,emt_mesenchymal,emt_mesenchymal,weak,malignant_support_weak,-0.030376592951218567,-0.031975361001282704,0.4723243678676703,0.7853643320974301,,-0.17145107842441618,True,False,Fibroblast,0.6039634391632349,,1.6238217741576146,-0.31242177932676096,effective,ok,1.7800326638209951,5,5,1.0,1.0,4,4,1.0,False,False,100.0,100.0,0.6039634391632349,1.2784541986398301,1.7800326638209951,Pericyte,1.140249813200303,Mural,0.7629092608125085,-0.19393805061432487,effective,ok,0.859878286119671,2,2,1.0,1.0,6,6,1.0,False,False,100.0,100.0,1.140249813200303,1.140249813200303,0.859878286119671,CD4 T cell,0.3131158182969353,T cell,0.007730211565321388,-0.017996259659281505,effective,ok,0.01672834139496214,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.3757389819563224,0.5656287363095089,0.01672834139496214
18,Pericyte,Pericyte_18,resolved,resolved,False,,Pericyte,Pericyte_18,assigned,leaf_reached,Mural > Pericyte,2,high,0.8918559450985938,0.7907539708961128,0.7907539708961128,0.17751216890540034,0.17751216890540034,CD4 T cell,0.7143437761931934,,,,Pericyte,resolved,normal_dominant,normal,strong,weak,emt_mesenchymal_transition,emt_mesenchymal,emt_mesenchymal,weak,malignant_support_weak,0.008281199433878561,0.008717052035661643,0.32952386895825436,0.5322353025080204,,-0.7820369188604511,True,False,Mural,0.8419337940079602,,1.0170019569835722,-0.6145569414529716,effective,ok,1.1805940277695965,5,5,1.0,1.0,2,2,1.0,False,False,100.0,100.0,0.8419337940079602,1.8146875858009923,1.324280427710058,Pericyte,1.215641389462203,Mural,0.7788855402726187,-0.2697246323579567,effective,ok,0.9137478564515971,2,2,1.0,1.0,6,6,1.0,False,False,100.0,100.0,1.215641389462203,1.215641389462203,0.9137478564515971,Plasma cell,0.21947785239013973,B cell,-0.019275371741474624,-0.062021292814906995,effective,ok,0.011735274665978873,5,5,1.0,1.0,2,2,1.0,False,False,100.0,100.0,0.21947785239013973,0.21947785239013973,0.011735274665978873
6,Pericyte,Pericyte_6,resolved,resolved,False,,Pericyte,Pericyte_6,assigned,leaf_reached,Mural > Pericyte,2,high,1.0093589827783214,0.8920664391721367,0.8920664391721367,0.6298190110706691,0.6298190110706691,CD8 T cell,0.3795399717076523,,,,Pericyte,resolved,normal_dominant,normal,strong,weak,emt_mesenchymal_transition,emt_mesenchymal,emt_mesenchymal,weak,malignant_support_weak,-0.0256824729053252,-0.027034182005605478,0.36445189694650426,0.5941489365475333,,-0.9191006211777422,True,False,Fibroblast,1.6345650057871346,,1.9950819786664724,-0.22179530064217506,effective,ok,2.10597962898756,5,5,1.0,1.0,4,4,1.0,False,False,100.0,100.0,1.6345650057871346,1.6662603986638178,2.10597962898756,Stem/TA-like,0.3186717229996373,Intestinal epithelial,-0.13228252886801717,-0.2650716105308909,effective,ok,0.00025327639742828145,4,4,1.0,1.0,1,1,1.0,False,False,100.0,100.0,0.3186717229996373,-0.11621322738486133,0.00025327639742828145,Monocyte,0.6640185723513155,Myeloid,0.006576820283683879,-0.41681353522568065,effective,ok,0.21498358789652422,3,3,1.0,0.6666666666666666,2,2,1.0,False,False,100.0,100.0,0.7968222868215786,0.7016547405178181,0.21498358789652422
10,candidate_plasma_cell,candidate_plasma_cell_10,candidate,blocked_strong_candidate,False,,Unresolved,Unresolved_10,stopped_at_parent,below_absolute_support,Unresolved,0,none,,,,,,Plasma cell,5.33737819736559,Plasma cell,10.043411442505151,2.2000227006058815,Unresolved,resolved,normal_only,normal,none,weak,stress_ifn,stress_ifn,stress_ifn,weak,malignant_support_weak,-0.14512219566706946,-0.1527602059653363,-0.007940243651837417,-0.11145319067484197,,-0.1527602059653363,True,False,Endothelial,1.4104706654718955,,0.18742491042583473,0.17104841515930444,effective,ok,0.06623545685001864,5,5,1.0,1.0,3,3,1.0,False,False,100.0,100.0,1.4104706654718955,1.8693636765373502,0.10190070284618251,Absorptive-like,4.9210909879973865,Intestinal epithelial,-0.07783978460732699,-0.35275278463976506,effective,ok,0.09853660771255554,2,2,1.0,1.0,1,1,1.0,False,False,100.0,100.0,4.9210909879973865,3.036171262909668,0.09853660771255554,Treg,1.8059234928875538,T cell,0.08184354531292064,0.02915968654275236,effective,ok,0.06726370204154446,4,4,1.0,1.0,2,2,1.0,False,False,100.0,100.0,1.8059234928875538,2.86778522722408,0.06726370204154446
