source,program,program_type,marker
hierarchy:colon_tme,Intestinal epithelial,hierarchy,KRT20
hierarchy:colon_tme,Intestinal epithelial,hierarchy,CEACAM1
hierarchy:colon_tme,Intestinal epithelial,hierarchy,SLC26A3
hierarchy:colon_tme,Intestinal epithelial,hierarchy,MUC2
hierarchy:colon_tme,Intestinal epithelial,hierarchy,TFF3
hierarchy:colon_tme,Intestinal epithelial,hierarchy,SOX9
hierarchy:colon_tme,Absorptive-like,hierarchy,CA1
hierarchy:colon_tme,Absorptive-like,hierarchy,FABP1
hierarchy:colon_tme,Goblet-like,hierarchy,SPINK4
hierarchy:colon_tme,Goblet-like,hierarchy,CLCA1
hierarchy:colon_tme,Goblet-like,hierarchy,AGR2
hierarchy:colon_tme,Stem/TA-like,hierarchy,LGR5
hierarchy:colon_tme,Stem/TA-like,hierarchy,OLFM4
hierarchy:colon_tme,Stem/TA-like,hierarchy,MKI67
hierarchy:colon_tme,Stem/TA-like,hierarchy,ASCL2
hierarchy:colon_tme,Fibroblast,hierarchy,COL1A1
hierarchy:colon_tme,Fibroblast,hierarchy,COL1A2
hierarchy:colon_tme,Fibroblast,hierarchy,DCN
hierarchy:colon_tme,Fibroblast,hierarchy,LUM
hierarchy:colon_tme,Fibroblast,hierarchy,COL3A1
hierarchy:colon_tme,Endothelial,hierarchy,PECAM1
hierarchy:colon_tme,Endothelial,hierarchy,VWF
hierarchy:colon_tme,Endothelial,hierarchy,EMCN
hierarchy:colon_tme,Endothelial,hierarchy,KDR
hierarchy:colon_tme,Endothelial,hierarchy,CLDN5
hierarchy:colon_tme,Capillary endothelial,hierarchy,RGCC
hierarchy:colon_tme,Capillary endothelial,hierarchy,CA4
hierarchy:colon_tme,Mural,hierarchy,RGS5
hierarchy:colon_tme,Mural,hierarchy,MCAM
hierarchy:colon_tme,Mural,hierarchy,CSPG4
hierarchy:colon_tme,Mural,hierarchy,ACTA2
hierarchy:colon_tme,Mural,hierarchy,MYH11
hierarchy:colon_tme,Pericyte,hierarchy,PDGFRB
hierarchy:colon_tme,Pericyte,hierarchy,DES
hierarchy:colon_tme,Immune,hierarchy,PTPRC
hierarchy:colon_tme,Immune,hierarchy,TYROBP
hierarchy:colon_tme,Immune,hierarchy,LST1
hierarchy:colon_tme,Immune,hierarchy,HLA-DRA
hierarchy:colon_tme,Immune,hierarchy,CD53
hierarchy:colon_tme,T cell,hierarchy,CD3D
hierarchy:colon_tme,T cell,hierarchy,CD3E
hierarchy:colon_tme,T cell,hierarchy,TRBC1
hierarchy:colon_tme,T cell,hierarchy,TRAC
hierarchy:colon_tme,T cell,hierarchy,LTB
hierarchy:colon_tme,CD4 T cell,hierarchy,IL7R
hierarchy:colon_tme,CD4 T cell,hierarchy,MAL
hierarchy:colon_tme,CD8 T cell,hierarchy,NKG7
hierarchy:colon_tme,CD8 T cell,hierarchy,CCL5
hierarchy:colon_tme,CD8 T cell,hierarchy,PRF1
hierarchy:colon_tme,CD8 T cell,hierarchy,GZMB
hierarchy:colon_tme,Treg,hierarchy,IL2RA
