cell_ID,celltype_thresh,celltype_granular,best_score_granular,best_score_thresh
c_1_100_1,immune,monocyte,0.28326066562985,0.997974720887725
c_1_100_10,plasma,plasma,0.950528402935319,0.950528402935319
c_1_100_100,epithelial,epithelial,0.989440395066886,0.989440395066886
c_1_100_1000,l1,cd4_naive,0.102932849540847,0.422067756771147
c_1_100_1001,l1,endothelial,0.391729143109473,0.391729143109473
c_1_100_1002,immune,macrophage,0.214639649528729,0.587108076621971
c_1_100_1003,plasma,plasma,0.969799424002285,0.969799424002285
c_1_100_1004,immune,dendritic,0.316527200933777,0.999999864914932
c_1_100_1005,l1,fibroblast,0.276995045309731,0.276995045309731
c_1_100_1006,plasma,plasma,0.928390346522023,0.928390346522023
